Data_Type,Run_Name,Fault_Name,Time_Step,TIME,S1V1,S1V2,S1V3,S1V4,S1V5,S1I1,S1I2,S1I3,S1I4,S1I5,S1P1,S1P2,S1P3,S1P4,S1P5,S2V1,S2V2,S2V3,S2V4,S2V5,S2I1,S2I2,S2I3,S2I4,S2I5,S2P1,S2P2,S2P3,S2P4,S2P5,S3V1,S3V2,S3V3,S3V4,S3V5,S4V1,S4V2,S4V3,S4V4,S4V5,S34PV1,S34PV2,S34PV3,S34PV4,S34PV5,S3I1,S3I2,S3I3,S3I4,S3I5,S4I1,S4I2,S4I3,S4I4,S4I5,S34PI1,S34PI2,S34PI3,S34PI4,S34PI5,S34V1,S34V2,S34V3,S34V4,S34V5,S34I1,S34I2,S34I3,S34I4,S34I5
calibration,2901,Normal,11,46.6875,146.8875,7.31703,5.364571,2.412598,1.443727,2.639459,0.003949254,0.002747989,0.0008166105,0.0001309227,5.741,-107.66,146.76,142.28,-170.86,87.49538,6.414827,4.982932,2.27764,1.283764,1.636874,0.0007345394,0.0001717967,5.000519e-05,1.026869e-05,-5.49,-12.46,-31.57,-54.45,48.28,700.7857,18.35848,4.375071,2.639277,1.674885,496.5181,7.50732,1.706023,0.6698614,0.1042281,173.0,71.36,-160.1,52.82,155.9,7.034209,0.04337755,0.01277953,0.001221842,0.005017819,8.267323,0.04217111,0.02561622,0.006039695,0.0008689905,-1.150001,46.89,77.71,170.5,141.8,697.8168,19.3576,5.044841,2.69549,172.2828,14.91612,0.06400032,0.01773867,0.0048902,0.004866496
calibration,2901,Normal,12,49.82031,146.5498,7.342347,5.368277,2.429322,1.442066,2.639459,0.003940171,0.002744826,0.0008166105,0.0001286812,5.942,-107.36,145.46,142.78,-170.46,86.3943,6.43554,5.009392,2.272401,1.294151,1.625605,0.000757731,0.0001717967,5.000519e-05,1.078984e-05,-5.360001,-9.990001,-34.04,-52.85,42.53,700.7857,18.35848,4.375071,2.639277,1.672958,495.8896,7.541973,1.7021,0.6737285,0.1023257,172.9,71.49,-160.2,53.09,149.1,7.044742,0.04337755,0.01276483,0.001227482,0.005012045,8.267323,0.04221968,0.02579378,0.006046651,0.0008669918,-1.150001,46.69,77.77,170.6,141.8,697.8033,19.35518,5.048708,2.694438,172.1836,14.92634,0.06403627,0.01790247,0.004891911,0.004860984
calibration,2901,Normal,13,52.94922,146.5498,7.342347,5.389954,2.423734,1.448722,2.651642,0.003962918,0.002760672,0.0008128585,0.0001324387,6.076,-107.26,147.76,143.68,-169.16,88.10188,6.419999,4.993845,2.306667,1.297135,1.594098,0.0007178191,0.0001778341,5.058421e-05,1.078984e-05,-5.559999,179.93,152.07,-51.04,52.96,701.6739,18.37438,4.35146,2.624128,1.665271,499.4417,7.429934,1.747773,0.6918069,0.1081396,172.9,71.63,-160.4,52.49,157.1,7.065862,0.04337755,0.01220436,0.001250302,0.0051584,8.313133,0.04350258,0.02666951,0.006501521,0.0009343618,-1.009999,44.09,79.18,172.0,143.4,698.7352,19.39914,5.043174,2.682515,172.1869,14.99166,0.06499139,0.01892776,0.005324374,0.004999412
calibration,2901,Normal,14,56.14063,145.2061,7.760415,5.670026,2.606064,1.473958,2.673098,0.003935636,0.00279264,0.0008213248,0.0001260419,7.546,-106.26,149.26,140.18,-174.86,89.43037,7.029672,5.459276,2.532124,1.364536,1.570418,0.000713699,0.0001847205,5.176249e-05,9.761467e-06,-6.23,179.03,150.47,-57.73,47.75,709.3083,18.50152,4.186828,2.591105,1.634877,508.0248,7.879251,1.866315,0.7682187,0.101038,172.9,70.02,-161.0,50.15,147.2,7.152619,0.04337755,0.01088968,0.001289778,0.005290722,8.44821,0.04645313,0.02834751,0.007047174,0.00100465,-0.7400007,38.54,82.59,174.4,145.5,706.1936,19.59912,4.954945,2.64558,172.1998,15.20804,0.06722951,0.02112129,0.005832039,0.005124186
calibration,2901,Normal,15,59.26953,146.2126,8.142072,5.905885,2.7478,1.494462,2.660816,0.003999587,0.002773415,0.0008270181,0.0001272081,7.412,-109.16,147.26,140.88,-175.16,88.00049,7.422241,5.727763,2.654513,1.399539,1.588602,0.0007186462,0.0001823959,5.000519e-05,1.026869e-05,-5.360001,178.93,152.67,-116.0,48.08,713.6497,18.56511,4.119885,2.582172,1.619888,512.7846,8.118671,1.911987,0.8072069,0.1048299,172.9,69.49,-161.4,49.75,153.0,7.174063,0.04337755,0.0103637,0.001300215,0.005327397,8.493074,0.04748047,0.02907468,0.007370806,0.001039956,-0.6099997,36.67,83.92,175.3,146.2,710.4413,19.69081,4.926987,2.638749,172.2061,15.27275,0.06802154,0.02209202,0.006145258,0.005157786
calibration,2901,Normal,16,62.39844,145.8764,8.248688,5.967397,2.786025,1.499634,2.666951,0.003985795,0.002773415,0.0008260663,0.0001256073,8.281,-108.86,148.06,140.48,-175.86,88.50855,7.506458,5.769458,2.679076,1.402765,1.577667,0.0007104197,0.0001823959,5.116994e-05,9.247303e-06,-4.960001,180.73,152.67,-58.59,31.37,713.6497,18.56511,4.106153,2.582172,1.619888,513.6709,8.250588,1.923025,0.8016504,0.1061658,172.9,70.29,-161.4,49.01,157.5,7.184808,0.04337755,0.01023328,0.001303212,0.005327397,8.504818,0.04758993,0.02924253,0.007447577,0.00104596,-0.6099997,36.27,84.25999,175.6,146.4,710.3898,19.69766,4.907698,2.639489,172.2061,15.29467,0.0681063,0.02232395,0.00621908,0.0051574
calibration,2901,Normal,17,65.52734,145.8764,8.304911,6.018454,2.808568,1.494462,2.673098,0.004004193,0.002773415,0.0008279706,0.0001223249,8.482,-108.86,145.36,137.78,-180.36,88.00049,7.596877,5.841643,2.719474,1.412489,1.584948,0.0007211325,0.0001809319,4.93759e-05,9.761467e-06,-4.76,177.63,-30.97,-115.9,29.57,715.2952,18.581,4.082583,2.576233,1.612445,514.5587,8.090678,1.936355,0.8137385,0.1145473,172.9,69.82,-161.6,49.21,167.8,7.19557,0.04337755,0.01001186,0.001306216,0.005333534,8.515589,0.04791979,0.02937751,0.00750784,0.00105929,-0.54,35.53,84.93,175.9,146.8,712.0977,19.72177,4.896215,2.638208,172.2093,15.31565,0.06836215,0.0225763,0.006276424,0.005162582
calibration,2901,Normal,18,68.66016,146.5498,8.371145,6.054594,2.844363,1.501361,2.660816,0.004013424,0.002773415,0.0008279706,0.0001266237,8.080999,-109.96,147.06,139.28,-177.36,87.29414,7.713208,5.932463,2.773224,1.42228,1.601456,0.0007294827,0.000177221,4.875453e-05,9.247303e-06,-4.690001,-11.26,-30.97,-61.8,38.66,717.0264,18.5969,4.039104,2.573268,1.597663,517.8273,8.462233,1.981459,0.8365366,0.1165427,172.9,69.42,-162.0,47.81,169.2,7.217142,0.04337755,0.009120423,0.00131527,0.005345828,8.572648,0.04948973,0.03055026,0.008072629,0.001124644,-0.4099998,32.99,87.46999,177.3,148.5,713.6837,19.76567,4.875533,2.636356,172.2156,15.39243,0.06958839,0.02422409,0.006831721,0.005170997
calibration,2901,Normal,19,71.78906,145.5408,8.717358,6.261596,2.995609,1.511768,2.685437,0.004041245,0.002773415,0.0008289246,0.0001228895,9.952,-110.86,145.36,136.28,-179.96,86.29491,8.201344,6.291946,2.961317,1.460445,1.608848,0.0006974531,0.0001665387,4.576304e-05,1.078984e-05,-6.030001,-13.53,-30.1,-129.8,26.63,722.9946,18.66058,3.894799,2.56735,1.555912,525.5147,8.840665,2.089224,0.8984314,0.146381,172.9,68.82,-163.0,46.27,170.7,7.281403,0.04337755,0.00770043,0.001321341,0.005309028,8.673909,0.0520613,0.03184307,0.008669918,0.001179004,-0.1399994,28.85,93.21,179.0,150.0,719.504,19.89637,4.793116,2.647179,172.2333,15.55389,0.07162596,0.02636535,0.007422391,0.005132711
calibration,2901,Normal,20,74.91797,146.8875,8.844737,6.312262,2.992161,1.499634,2.663882,0.004083336,0.002783012,0.0008279706,0.0001127236,9.284,-112.26,142.56,132.58,171.44,88.10188,7.983348,6.068552,2.834555,1.430491,1.575851,0.0006768854,0.0001794796,5.058421e-05,1.078984e-05,-6.09,176.63,-28.96,-62.0,22.55,717.8525,18.6128,4.042361,2.573268,1.608737,516.6365,8.481741,1.981459,0.8413659,0.1106585,172.9,68.95,-161.8,49.35,157.8,7.19557,0.04337755,0.0101278,0.001304713,0.005327397,8.515589,0.04764474,0.02907468,0.00724461,0.001020975,-0.54,35.53,85.32999,175.6,146.2,714.5022,19.78151,4.883617,2.633084,172.2109,15.31565,0.06814877,0.02222163,0.006015146,0.005159054
calibration,2901,Normal,21,78.05078,148.0761,8.060926,5.880103,2.694542,1.482467,2.624309,0.004144909,0.002738514,0.0008317924,0.0001238839,6.142,-112.66,142.16,138.68,-176.96,89.32749,7.066999,5.403,2.471638,1.347365,1.566805,0.0007727073,0.0001898957,5.236187e-05,1.026869e-05,-5.09,-9.590001,153.67,-101.9,35.72,705.8868,18.45383,4.294723,2.621109,1.66719,502.7304,7.717647,1.759888,0.7277547,0.1075189,172.9,69.69,-160.6,53.76,156.6,7.055295,0.04337755,0.01263325,0.001231728,0.00504098,8.2902,0.04261034,0.02579378,0.006011945,0.0008719969,-1.079999,45.36,78.43999,170.7,141.8,702.8354,19.48583,5.02238,2.679153,172.1861,14.95897,0.06432591,0.01795524,0.004853374,0.004889047
calibration,2901,Normal,22,81.17969,147.2262,7.306929,5.379415,2.423734,1.443727,2.630359,0.004013424,0.002738514,0.0008213248,0.0001298718,5.474,-108.46,145.96,143.68,-171.06,89.53342,6.361874,4.952621,2.26196,1.280811,1.575851,0.0008222711,0.0001832378,5.358151e-05,1.026869e-05,-5.360001,-13.4,154.07,-52.25,43.67,699.9792,18.35848,4.378598,2.639277,1.676814,495.6043,7.302725,1.700141,0.7111889,0.09067447,172.9,71.42,-160.2,55.36,149.7,7.034209,0.04337755,0.01289778,0.001220436,0.005006278,8.256858,0.04192904,0.0255573,0.005956828,0.0008669918,-1.21,47.23,77.31,170.1,141.5,697.0903,19.35398,5.089691,2.688018,172.182,14.90588,0.06382148,0.01764036,0.004808879,0.004855303
calibration,2901,Normal,23,84.30859,146.8875,7.281735,5.364571,2.415377,1.442066,2.636422,0.003994984,0.002744826,0.0008213248,0.0001276483,5.407,-107.96,146.26,143.28,-172.36,89.43037,6.324628,4.93384,2.248977,1.279337,1.581303,0.0008119233,0.0001832378,5.420195e-05,1.181721e-05,-5.290001,-14.73,-33.11,-51.44,46.34,699.9792,18.35848,4.382128,2.639277,1.678746,495.3188,7.395797,1.696231,0.6982083,0.09067447,172.9,70.22,-160.2,55.9,146.0,7.034209,0.04337755,0.01295731,0.001220436,0.005006278,8.256858,0.04188081,0.0255573,0.005949973,0.0008669918,-1.21,47.23,77.17,170.1,141.6,697.054,19.35158,5.080242,2.688018,172.1812,14.90588,0.06378589,0.01761746,0.004802044,0.004855303
calibration,2901,Normal,24,87.4375,146.8875,7.281735,5.368277,2.415377,1.442066,2.636422,0.00398121,0.002751154,0.000818493,0.0001282375,5.474,-107.76,146.26,143.18,-171.66,89.22472,6.340669,4.925894,2.248977,1.279337,1.581303,0.000813795,0.0001823959,5.176249e-05,1.129835e-05,-5.43,177.13,154.57,-53.38,43.34,699.9792,18.35848,4.382128,2.639277,1.678746,495.3188,7.336433,1.696231,0.6950002,0.09130296,173.0,70.49,-160.1,55.63,151.5,7.034209,0.04337755,0.01300214,0.001220436,0.005006278,8.256858,0.04192904,0.0255573,0.005956828,0.0008649977,-1.150001,47.23,77.24,170.2,141.6,697.0771,19.35158,5.077034,2.688364,172.2811,14.90588,0.06382148,0.01760034,0.004808879,0.004855478
calibration,2901,Normal,25,90.57031,146.8875,7.281735,5.364571,2.412598,1.442066,2.636422,0.003994984,0.002747989,0.0008222711,0.0001292752,5.474,-107.86,146.36,143.28,-172.06,89.32749,6.334831,4.918527,2.254161,1.279337,1.581303,0.000796187,0.0001815579,5.420195e-05,1.078984e-05,-5.43,178.73,-33.84,-52.85,41.87,699.9792,18.35848,4.385157,2.639277,1.676814,495.3188,7.277547,1.696231,0.6966024,0.08994666,172.9,71.29,-160.1,55.96,145.0,7.034209,0.04337755,0.01288294,0.001220436,0.005006278,8.256858,0.0420257,0.0255573,0.005956828,0.0008630083,-1.21,47.3,77.24,170.1,141.6,697.1002,19.35158,5.081665,2.687618,172.182,14.90588,0.06389284,0.01764609,0.004808879,0.004855654
calibration,2901,Normal,26,93.70703,146.8875,7.276708,5.364571,2.412598,1.442066,2.639459,0.003990388,0.002741669,0.0008222711,0.0001276483,5.407,-107.86,146.26,143.18,-172.66,89.32749,6.324628,4.918527,2.243804,1.279337,1.583125,0.0008156711,0.0001832378,5.358151e-05,1.181721e-05,-5.49,-12.39,-32.5,-51.84,41.73,699.9792,18.35848,4.385157,2.639277,1.676814,495.3188,7.395797,1.696231,0.6998178,0.08994666,172.9,71.36,-160.2,56.5,148.1,7.034209,0.04337755,0.01291264,0.001219032,0.004994764,8.256858,0.04192904,0.0255573,0.005949973,0.0008630083,-1.21,47.3,77.24,170.1,141.5,697.054,19.35158,5.08488,2.687618,172.182,14.90588,0.06382148,0.01763463,0.004803345,0.004844311
calibration,2901,Normal,27,96.83984,146.8875,7.265825,5.357782,2.409823,1.442066,2.636422,0.004004193,0.002744826,0.0008222711,0.0001282375,5.407,-107.86,146.26,143.08,-172.86,89.43037,6.313716,4.910605,2.238643,1.279337,1.579484,0.0008213252,0.0001832378,5.358151e-05,1.129835e-05,-5.559999,-11.66,-33.64,-54.05,42.07,699.9792,18.35848,4.385157,2.639277,1.678746,495.3188,7.387287,1.690382,0.7095532,0.08994666,172.9,70.29,-160.2,56.03,-40.04,7.034209,0.04337755,0.01288294,0.001219032,0.004994764,8.256858,0.04188081,0.02549852,0.005936288,0.0008600328,-1.150001,47.36,77.17,170.0,141.4,697.0573,19.34799,5.094614,2.687618,172.1812,14.90588,0.06378589,0.01759407,0.004789701,0.004844574
calibration,2901,Normal,28,99.96875,146.8875,7.265825,5.357782,2.409823,1.438749,2.636422,0.003999587,0.002741669,0.0008213248,0.0001282375,5.273,-108.06,145.96,143.08,-172.86,89.32749,6.318806,4.918527,2.238643,1.279337,1.581303,0.0008007834,0.0001815579,5.296818e-05,1.078984e-05,-5.49,177.63,-31.37,-53.78,42.73,699.9792,18.35848,4.385157,2.639277,1.678746,495.034,7.344885,1.694279,0.6950002,0.08994666,172.9,71.56,-160.2,56.1,-39.1,7.034209,0.04337755,0.01304713,0.001219032,0.004994764,8.256858,0.04188081,0.02546918,0.005929458,0.0008620154,-1.150001,47.43,77.11,170.1,141.5,697.0739,19.35038,5.080063,2.687618,172.1812,14.90588,0.06378589,0.01750563,0.004782892,0.004844398
calibration,2901,Normal,29,103.0977,146.8875,7.265825,5.361485,2.409823,1.438749,2.636422,0.003990388,0.002744826,0.000818493,0.0001282375,5.273,-107.86,145.86,142.88,-172.96,89.32749,6.30863,4.922492,2.248977,1.276395,1.581303,0.0007989416,0.0001815579,5.540067e-05,1.129835e-05,-5.559999,177.33,-29.23,-52.98,40.06,699.9792,18.35848,4.388692,2.639277,1.676814,495.034,7.447062,1.694279,0.706293,0.08932741,172.9,70.76,-160.2,55.63,147.3,7.034209,0.04337755,0.01304713,0.001219032,0.004994764,8.256858,0.04188081,0.02546918,0.005929458,0.0008600328,-1.150001,47.43,77.17,170.0,141.4,697.0339,19.35038,5.09489,2.687278,172.182,14.90588,0.06378589,0.01750563,0.004782892,0.004844574
calibration,2901,Normal,30,106.2305,146.8875,7.265825,5.357782,2.409823,1.442066,2.636422,0.003999587,0.002747989,0.0008222711,0.0001276483,5.34,-107.86,145.96,143.08,-172.66,89.32749,6.303548,4.918527,2.241222,1.276395,1.583125,0.0007989416,0.0001809319,5.358151e-05,1.129835e-05,-5.690001,178.33,-30.43,-52.91,43.74,699.9792,18.35848,4.385157,2.639277,1.678746,495.3188,7.447062,1.696231,0.6942006,0.08994666,172.9,70.42,-160.2,56.23,147.6,7.034209,0.04337755,0.01297224,0.001219032,0.004994764,8.256858,0.04183261,0.02546918,0.005929458,0.0008669918,-1.150001,47.36,77.11,170.0,141.4,697.0339,19.35158,5.079263,2.687618,172.1812,14.90588,0.06375035,0.01753397,0.004782892,0.004843962
calibration,2901,Normal,31,109.3594,146.8875,7.265825,5.357782,2.407049,1.442066,2.636422,0.003985795,0.002744826,0.0008203799,0.0001272081,5.34,-107.96,145.96,143.08,-172.66,89.43037,6.324628,4.907214,2.243804,1.276395,1.583125,0.0007952707,0.0001838718,5.420195e-05,9.761467e-06,-5.629999,177.33,-29.9,-53.98,39.26,699.9792,18.35848,4.385157,2.639277,1.676814,495.3188,7.277547,1.694279,0.7079212,0.09067447,172.9,71.36,-160.2,55.83,147.9,7.034209,0.04337755,0.0129424,0.001219032,0.004994764,8.256858,0.04188081,0.02549852,0.005943127,0.0008630083,-1.21,47.36,77.17,170.1,141.4,697.1002,19.35038,5.092982,2.688018,172.182,14.90588,0.06378589,0.01757124,0.00479652,0.004844311
calibration,2901,Normal,32,112.4883,146.8875,7.265825,5.361485,2.409823,1.442066,2.636422,0.003990388,0.002744826,0.0008213248,0.0001282375,5.407,-107.86,146.16,143.08,-172.36,89.32749,6.318806,4.922492,2.251567,1.276395,1.579484,0.000796187,0.0001832378,5.236187e-05,1.181721e-05,-5.629999,178.23,-30.57,-55.52,41.46,699.9792,18.35848,4.385157,2.639277,1.676814,495.3188,7.45564,1.696231,0.7079212,0.08994666,173.0,70.76,-160.2,55.96,-38.5,7.034209,0.04337755,0.01304713,0.001220436,0.004994764,8.256858,0.04188081,0.02549852,0.005943127,0.0008659944,-1.21,47.3,77.11,170.1,141.5,697.0305,19.35158,5.092982,2.687618,172.282,14.90588,0.06378589,0.01753147,0.00479522,0.004844049
calibration,2903,Normal,1,15.32031,146.2126,7.44449,5.433567,2.465954,1.453735,2.648591,0.003976628,0.002751154,0.0008156707,0.0001286812,6.009,-107.56,146.46,143.08,-171.66,86.89305,6.589236,5.118999,2.333377,1.304623,1.623735,0.0007055294,0.0001747894,5.058421e-05,9.247303e-06,-4.559999,178.53,153.17,-50.24,45.68,702.4818,18.37438,4.334959,2.633208,1.66719,498.58,7.541973,1.727766,0.6823151,0.1120688,172.9,70.89,-160.3,52.89,153.5,7.055295,0.04337755,0.01250302,0.001231728,0.005064248,8.2902,0.04280701,0.02597257,0.006187497,0.0008861661,-1.150001,45.09,78.57999,170.9,142.4,699.4992,19.38682,5.017182,2.693768,172.1861,14.95897,0.06447212,0.01816881,0.005028418,0.004910733
calibration,2903,Normal,2,18.51172,146.8875,7.459933,5.455505,2.468795,1.448722,2.6425,0.003990388,0.002744826,0.0008166105,0.0001286812,5.942,-108.06,145.86,142.48,-172.26,87.49538,6.51531,5.051088,2.304013,1.297135,1.62,0.0007328499,0.000178655,5.236187e-05,1.026869e-05,-4.690001,177.63,-32.17,-49.91,42.2,701.6739,18.35848,4.375071,2.645362,1.66911,497.0897,7.447062,1.7021,0.6714056,0.108764,172.9,72.09,-160.3,52.89,161.0,7.044742,0.04337755,0.01266237,0.001221842,0.005006278,8.256858,0.0417364,0.0255573,0.006046651,0.0008750142,-1.21,46.76,78.03999,170.6,142.0,698.7285,19.35518,5.046385,2.704082,172.1852,14.9161,0.06367945,0.01773255,0.004897136,0.004854607
